id,comment
1,"Giảng viên dạy rất nhiệt tình và bài giảng cực kỳ dễ hiểu."
2,"Khóa học quá nhàm chán, tôi không học được gì cả."
3,"Tài liệu hơi cũ nhưng thầy giải thích kỹ nên cũng ổn."
4,"Thầy toàn đi trễ và hay huỷ lịch học đột xuất, quá tệ!"
5,"Cảm ơn cô vì đã hỗ trợ em rất nhiều trong lúc làm bài tập lớn."
6,"Nội dung khóa học bình thường, không có gì đặc sắc."
7,"Tuyệt vời! Một trong những khoá học hay nhất tôi từng học."
8,"Thầy nói hơi nhanh, em nghe không kịp."
9,"Slide bài giảng thiết kế rất đẹp và trực quan."
10,"Không đáng tiền, kiến thức quá cơ bản so với quảng cáo."
11,"Em thấy môn này khá khó nhưng giảng viên đã làm nó trở nên thú vị."
12,"Phòng học quá nóng và ồn ào, ảnh hưởng đến việc tiếp thu."
13,"Cô chấm điểm rất công tâm, có giải thích rõ ràng."
14,"Em hy vọng trường sẽ tăng lượng bài tập thực hành hơn."
15,"Tuyệt cú mèo! 10 điểm không có nhưng."
16,"Giảng viên đôi khi hay cáu gắt với sinh viên khi hỏi lại bài."
17,"Tạm được, đủ xài cho người mới bắt đầu."
18,"Tốc độ giảng bài vừa phải nha."
19,"Kiểm tra quá khó so với những gì được học trên lớp."
20,"Mong kỳ sau được học lại môn của thầy ạ!!!"
